instrument_id,party_id,protection_id,BS_ITEM,BS_COUNT_SECTOR,outstanding_nominal_amount,ref_period,instrument_type,currency
DE_A20_LOAN_00146,DE_PARTY_00024,PROT_00353,A20,1000,537.64,2023-12,LOAN,EUR
DE_A20_LOAN_00147,DE_PARTY_00194,PROT_00156,A20,1000,511.37,2023-12,LOAN,EUR
DE_A20_LOAN_00148,DE_PARTY_00013,PROT_00359,A20,1000,1544.61,2023-12,LOAN,EUR
DE_A20_LOAN_00149,DE_PARTY_00029,PROT_00207,A20,1000,1349.59,2023-12,LOAN,EUR
DE_A20_LOAN_00150,DE_PARTY_00040,PROT_00483,A20,1000,1312.46,2023-12,LOAN,EUR
DE_A20_LOAN_00151,DE_PARTY_00161,PROT_00140,A20,1000,1390.24,2023-12,LOAN,EUR
DE_A20_LOAN_00152,DE_PARTY_00041,PROT_00257,A20,1000,750.96,2023-12,LOAN,EUR
DE_A20_LOAN_00153,DE_PARTY_00175,PROT_00277,A20,1000,1298.18,2023-12,LOAN,EUR
DE_A20_LOAN_00154,DE_PARTY_00109,PROT_00253,A20,1000,1346.43,2023-12,LOAN,EUR
DE_A20_LOAN_00155,DE_PARTY_00153,PROT_00225,A20,1000,735.65,2023-12,LOAN,EUR
DE_A20_LOAN_00156,DE_PARTY_00017,PROT_00042,A20,1000,3459.33,2023-12,LOAN,EUR
DE_A20_LOAN_00157,DE_PARTY_00099,PROT_00307,A20,1000,1500.67,2023-12,LOAN,EUR
DE_A20_LOAN_00158,DE_PARTY_00098,PROT_00021,A20,1000,552.57,2023-12,LOAN,EUR
DE_A20_LOAN_00159,DE_PARTY_00153,PROT_00456,A20,1000,1674.55,2023-12,LOAN,EUR
DE_A20_LOAN_00160,DE_PARTY_00120,PROT_00222,A20,1000,629.27,2023-12,LOAN,EUR
DE_A20_LOAN_00161,DE_PARTY_00136,PROT_00377,A20,1000,1810.97,2023-12,LOAN,EUR
DE_A20_LOAN_00162,DE_PARTY_00065,PROT_00166,A20,1000,2263.17,2023-12,LOAN,EUR
DE_A20_LOAN_00163,DE_PARTY_00142,PROT_00310,A20,1000,690.18,2023-12,LOAN,EUR
DE_A20_LOAN_00164,DE_PARTY_00003,PROT_00129,A20,1000,2013.02,2023-12,LOAN,EUR
DE_A20_LOAN_00165,DE_PARTY_00175,PROT_00014,A20,1000,1446.69,2023-12,LOAN,EUR
DE_A20_LOAN_00166,DE_PARTY_00185,PROT_00047,A20,1000,1849.37,2023-12,LOAN,EUR
DE_A20_LOAN_00167,DE_PARTY_00030,PROT_00118,A20,1000,3524.31,2023-12,LOAN,EUR
DE_A20_LOAN_00168,DE_PARTY_00175,PROT_00493,A20,1000,974.7,2023-12,LOAN,EUR
DE_A20_LOAN_00169,DE_PARTY_00138,PROT_00346,A20,1000,718.47,2023-12,LOAN,EUR
DE_A20_LOAN_00170,DE_PARTY_00193,PROT_00429,A20,1000,662.26,2023-12,LOAN,EUR
DE_A20_LOAN_00171,DE_PARTY_00069,PROT_00441,A20,1000,692.2,2023-12,LOAN,EUR
DE_A20_LOAN_00172,DE_PARTY_00197,PROT_00295,A20,1000,1078.26,2023-12,LOAN,EUR
DE_A20_LOAN_00173,DE_PARTY_00165,PROT_00301,A20,1000,1385.83,2023-12,LOAN,EUR
DE_A20_LOAN_00174,DE_PARTY_00088,PROT_00487,A20,1000,1333.26,2023-12,LOAN,EUR
DE_A20_LOAN_00175,DE_PARTY_00029,PROT_00011,A20,1000,1855.06,2023-12,LOAN,EUR
DE_A20_LOAN_00176,DE_PARTY_00076,PROT_00392,A20,1000,1138.16,2023-12,LOAN,EUR
DE_A20_LOAN_00177,DE_PARTY_00112,PROT_00345,A20,1000,2701.29,2023-12,LOAN,EUR
DE_A20_LOAN_00178,DE_PARTY_00041,PROT_00421,A20,1000,963.5,2023-12,LOAN,EUR
DE_A20_LOAN_00179,DE_PARTY_00117,PROT_00138,A20,1000,5776.0,2023-12,LOAN,EUR
DE_A20_LOAN_00180,DE_PARTY_00001,PROT_00296,A20,1000,1643.8,2023-12,LOAN,EUR
DE_A20_LOAN_00181,DE_PARTY_00185,PROT_00021,A20,1000,675.24,2023-12,LOAN,EUR
DE_A20_LOAN_00182,DE_PARTY_00185,PROT_00391,A20,1000,593.97,2023-12,LOAN,EUR
DE_A20_LOAN_00183,DE_PARTY_00068,PROT_00388,A20,1000,1508.47,2023-12,LOAN,EUR
DE_A20_LOAN_00184,DE_PARTY_00129,PROT_00090,A20,1000,987.61,2023-12,LOAN,EUR
DE_A20_LOAN_00185,DE_PARTY_00196,PROT_00241,A20,1000,1733.27,2023-12,LOAN,EUR
DE_A20_LOAN_00186,DE_PARTY_00046,PROT_00266,A20,1000,1500.13,2023-12,LOAN,EUR
DE_A20_LOAN_00187,DE_PARTY_00130,PROT_00334,A20,1000,1081.03,2023-12,LOAN,EUR
DE_A20_LOAN_00188,DE_PARTY_00028,PROT_00227,A20,1000,679.45,2023-12,LOAN,EUR
DE_A20_LOAN_00189,DE_PARTY_00161,PROT_00470,A20,1000,455.07,2023-12,LOAN,EUR
DE_A20_LOAN_00190,DE_PARTY_00077,PROT_00143,A20,1000,863.9,2023-12,LOAN,EUR
DE_A20_LOAN_00191,DE_PARTY_00164,PROT_00093,A20,1000,1887.87,2023-12,LOAN,EUR
DE_A20_LOAN_00192,DE_PARTY_00130,PROT_00300,A20,1000,1284.11,2023-12,LOAN,EUR
DE_A20_LOAN_00193,DE_PARTY_00156,PROT_00224,A20,1000,534.82,2023-12,LOAN,EUR
DE_A20_LOAN_00194,DE_PARTY_00051,PROT_00326,A20,1000,1252.97,2023-12,LOAN,EUR
DE_A20_LOAN_00195,DE_PARTY_00040,PROT_00417,A20,1000,1423.05,2023-12,LOAN,EUR
DE_A20_LOAN_00196,DE_PARTY_00096,PROT_00252,A20,1000,664.51,2023-12,LOAN,EUR
DE_A20_LOAN_00197,DE_PARTY_00196,PROT_00497,A20,1000,1238.43,2023-12,LOAN,EUR
DE_A20_LOAN_00198,DE_PARTY_00042,PROT_00047,A20,1000,1169.45,2023-12,LOAN,EUR
DE_A20_LOAN_00199,DE_PARTY_00139,PROT_00241,A20,1000,568.83,2023-12,LOAN,EUR
DE_A20_LOAN_00200,DE_PARTY_00200,PROT_00179,A20,1000,1399.73,2023-12,LOAN,EUR
DE_A20_LOAN_00201,DE_PARTY_00136,PROT_00210,A20,1000,1581.04,2023-12,LOAN,EUR
DE_A20_LOAN_00202,DE_PARTY_00001,PROT_00171,A20,1000,2162.88,2023-12,LOAN,EUR
DE_A20_LOAN_00203,DE_PARTY_00154,PROT_00165,A20,1000,2125.25,2023-12,LOAN,EUR
DE_A20_LOAN_00204,DE_PARTY_00083,PROT_00344,A20,1000,494.11,2023-12,LOAN,EUR
DE_A20_LOAN_00205,DE_PARTY_00126,PROT_00054,A20,1000,643.34,2023-12,LOAN,EUR
DE_A20_LOAN_00206,DE_PARTY_00005,PROT_00440,A20,1000,1538.23,2023-12,LOAN,EUR
DE_A20_LOAN_00207,DE_PARTY_00029,PROT_00083,A20,1000,1537.07,2023-12,LOAN,EUR
DE_A20_LOAN_00208,DE_PARTY_00093,PROT_00169,A20,1000,1538.24,2023-12,LOAN,EUR
DE_A20_LOAN_00209,DE_PARTY_00079,PROT_00211,A20,1000,11395.84,2023-12,LOAN,EUR
DE_A20_LOAN_00210,DE_PARTY_00062,PROT_00356,A20,1000,1590.65,2023-12,LOAN,EUR
DE_A20_LOAN_00211,DE_PARTY_00015,PROT_00254,A20,1000,2232.11,2023-12,LOAN,EUR
DE_A20_LOAN_00212,DE_PARTY_00062,PROT_00148,A20,1000,2001.73,2023-12,LOAN,EUR
DE_A20_LOAN_00213,DE_PARTY_00146,PROT_00340,A20,1000,1669.37,2023-12,LOAN,EUR
DE_A20_LOAN_00214,DE_PARTY_00021,PROT_00484,A20,1000,934.68,2023-12,LOAN,EUR
DE_A20_LOAN_00215,DE_PARTY_00022,PROT_00206,A20,1000,1780.67,2023-12,LOAN,EUR
DE_A20_LOAN_00216,DE_PARTY_00188,PROT_00417,A20,1000,710.29,2023-12,LOAN,EUR
DE_A20_LOAN_00217,DE_PARTY_00125,PROT_00390,A20,1000,979.73,2023-12,LOAN,EUR
DE_A20_LOAN_00218,DE_PARTY_00018,PROT_00282,A20,1000,844.0,2023-12,LOAN,EUR
DE_A20_LOAN_00219,DE_PARTY_00195,PROT_00019,A20,1000,1186.18,2023-12,LOAN,EUR
DE_A20_LOAN_00220,DE_PARTY_00137,PROT_00233,A20,1000,4528.56,2023-12,LOAN,EUR
DE_A20_LOAN_00221,DE_PARTY_00197,PROT_00046,A20,1000,368.34,2023-12,LOAN,EUR
DE_A20_LOAN_00222,DE_PARTY_00033,PROT_00162,A20,1000,1704.66,2023-12,LOAN,EUR
DE_A20_LOAN_00223,DE_PARTY_00033,PROT_00130,A20,1000,429.12,2023-12,LOAN,EUR
DE_A20_LOAN_00224,DE_PARTY_00169,PROT_00166,A20,1000,850.82,2023-12,LOAN,EUR
DE_A20_LOAN_00225,DE_PARTY_00122,PROT_00060,A20,1000,2170.55,2023-12,LOAN,EUR
DE_A20_LOAN_00226,DE_PARTY_00141,PROT_00497,A20,1000,1173.72,2023-12,LOAN,EUR
DE_A20_LOAN_00227,DE_PARTY_00043,PROT_00396,A20,1000,591.53,2023-12,LOAN,EUR
DE_A20_LOAN_00228,DE_PARTY_00068,PROT_00207,A20,1000,735.23,2023-12,LOAN,EUR
DE_A20_LOAN_00229,DE_PARTY_00136,PROT_00443,A20,1000,1697.86,2023-12,LOAN,EUR
DE_A20_LOAN_00230,DE_PARTY_00156,PROT_00264,A20,1000,728.61,2023-12,LOAN,EUR
DE_A20_LOAN_00231,DE_PARTY_00109,PROT_00423,A20,1000,1285.93,2023-12,LOAN,EUR
DE_A20_LOAN_00232,DE_PARTY_00055,PROT_00001,A20,1000,1160.62,2023-12,LOAN,EUR
DE_A20_LOAN_00233,DE_PARTY_00139,PROT_00337,A20,1000,763.88,2023-12,LOAN,EUR
DE_A20_LOAN_00234,DE_PARTY_00194,PROT_00446,A20,1000,4087.67,2023-12,LOAN,EUR
DE_A20_LOAN_00235,DE_PARTY_00187,PROT_00278,A20,1000,1651.96,2023-12,LOAN,EUR
DE_A20_LOAN_00236,DE_PARTY_00177,PROT_00237,A20,1000,335.05,2023-12,LOAN,EUR
DE_A20_LOAN_00237,DE_PARTY_00052,PROT_00212,A20,1000,1262.99,2023-12,LOAN,EUR
DE_A20_LOAN_00238,DE_PARTY_00183,PROT_00028,A20,1000,759.22,2023-12,LOAN,EUR
DE_A20_LOAN_00239,DE_PARTY_00080,PROT_00097,A20,1000,1883.38,2023-12,LOAN,EUR
DE_A20_LOAN_00240,DE_PARTY_00103,PROT_00266,A20,1000,701.94,2023-12,LOAN,EUR
DE_A20_LOAN_00241,DE_PARTY_00172,PROT_00186,A20,1000,1054.18,2023-12,LOAN,EUR
DE_A20_LOAN_00242,DE_PARTY_00167,PROT_00319,A20,1000,1528.98,2023-12,LOAN,EUR
DE_A20_LOAN_00243,DE_PARTY_00096,PROT_00388,A20,1000,1898.5,2023-12,LOAN,EUR
DE_A20_LOAN_00244,DE_PARTY_00113,PROT_00256,A20,1000,549.6,2023-12,LOAN,EUR
