protection_id,protection_type,protection_value,is_eligible_bsi
PROT_00047,GUARANTEE,290285.36,True
PROT_00048,GUARANTEE,113961.71,True
PROT_00049,FINANCIAL_COLLATERAL,55267.97,True
PROT_00050,FINANCIAL_COLLATERAL,239915.42,True
PROT_00051,FINANCIAL_COLLATERAL,182768.32,True
PROT_00052,GUARANTEE,268700.22,True
PROT_00053,FINANCIAL_COLLATERAL,309739.95,True
PROT_00054,REAL_ESTATE,69682.58,True
PROT_00055,REAL_ESTATE,105351.48,True
PROT_00056,FINANCIAL_COLLATERAL,301389.08,True
PROT_00057,REAL_ESTATE,204425.31,True
PROT_00058,REAL_ESTATE,378128.07,True
PROT_00059,GUARANTEE,343531.24,True
PROT_00060,FINANCIAL_COLLATERAL,430521.96,True
PROT_00061,FINANCIAL_COLLATERAL,361621.77,True
PROT_00062,GUARANTEE,243468.98,True
PROT_00063,REAL_ESTATE,352834.98,True
PROT_00064,REAL_ESTATE,173921.53,True
PROT_00065,FINANCIAL_COLLATERAL,187841.07,True
PROT_00066,REAL_ESTATE,405043.32,True
PROT_00067,GUARANTEE,250888.78,True
PROT_00068,GUARANTEE,409271.15,True
PROT_00069,FINANCIAL_COLLATERAL,420090.07,True
PROT_00070,GUARANTEE,435903.05,True
PROT_00071,GUARANTEE,462485.86,True
PROT_00072,FINANCIAL_COLLATERAL,243943.35,True
PROT_00073,GUARANTEE,193490.07,True
PROT_00074,GUARANTEE,311989.44,True
PROT_00075,GUARANTEE,217027.59,True
PROT_00076,REAL_ESTATE,320483.38,True
PROT_00077,FINANCIAL_COLLATERAL,367513.64,True
PROT_00078,FINANCIAL_COLLATERAL,359782.26,True
PROT_00079,FINANCIAL_COLLATERAL,218548.8,True
PROT_00080,REAL_ESTATE,125087.09,True
PROT_00081,REAL_ESTATE,243738.2,True
PROT_00082,FINANCIAL_COLLATERAL,114167.36,True
PROT_00083,REAL_ESTATE,450543.67,True
PROT_00084,FINANCIAL_COLLATERAL,205644.86,True
PROT_00085,REAL_ESTATE,119506.89,True
PROT_00086,GUARANTEE,61451.49,True
PROT_00087,GUARANTEE,340620.07,True
PROT_00088,FINANCIAL_COLLATERAL,336606.04,True
PROT_00089,REAL_ESTATE,203271.87,True
PROT_00090,REAL_ESTATE,82270.35,True
PROT_00091,GUARANTEE,234333.0,True
PROT_00092,GUARANTEE,190047.87,True
PROT_00093,REAL_ESTATE,354704.29,True
PROT_00094,REAL_ESTATE,322600.66,True
PROT_00095,REAL_ESTATE,214067.18,True
PROT_00096,REAL_ESTATE,148051.65,True
PROT_00097,REAL_ESTATE,494616.18,True
PROT_00098,REAL_ESTATE,254300.73,True
PROT_00099,FINANCIAL_COLLATERAL,359723.41,True
PROT_00100,REAL_ESTATE,113248.84,True
PROT_00101,GUARANTEE,268515.36,True
PROT_00102,FINANCIAL_COLLATERAL,62391.52,True
PROT_00103,REAL_ESTATE,277454.8,True
PROT_00104,GUARANTEE,483807.83,True
PROT_00105,FINANCIAL_COLLATERAL,222893.02,True
PROT_00106,GUARANTEE,67548.21,True
PROT_00107,REAL_ESTATE,63930.11,True
PROT_00108,REAL_ESTATE,224594.04,True
PROT_00109,REAL_ESTATE,122011.22,True
PROT_00110,REAL_ESTATE,60508.44,True
PROT_00111,FINANCIAL_COLLATERAL,390296.13,True
PROT_00112,FINANCIAL_COLLATERAL,256335.35,True
PROT_00113,GUARANTEE,180160.15,True
PROT_00114,REAL_ESTATE,455037.43,True
PROT_00115,GUARANTEE,102262.53,True
PROT_00116,FINANCIAL_COLLATERAL,480163.47,True
PROT_00117,REAL_ESTATE,191285.02,True
PROT_00118,REAL_ESTATE,449781.65,True
PROT_00119,FINANCIAL_COLLATERAL,321324.29,True
PROT_00120,FINANCIAL_COLLATERAL,422018.31,True
PROT_00121,FINANCIAL_COLLATERAL,492805.92,True
PROT_00122,FINANCIAL_COLLATERAL,179782.45,True
PROT_00123,FINANCIAL_COLLATERAL,482510.97,True
PROT_00124,REAL_ESTATE,225266.85,True
PROT_00125,FINANCIAL_COLLATERAL,223480.36,True
PROT_00126,REAL_ESTATE,203174.2,True
PROT_00127,REAL_ESTATE,293633.42,True
PROT_00128,FINANCIAL_COLLATERAL,119365.27,True
PROT_00129,FINANCIAL_COLLATERAL,299170.17,True
PROT_00130,REAL_ESTATE,293767.17,True
PROT_00131,FINANCIAL_COLLATERAL,392855.82,True
PROT_00132,FINANCIAL_COLLATERAL,425142.48,True
PROT_00133,FINANCIAL_COLLATERAL,248198.61,True
PROT_00134,GUARANTEE,186049.96,True
PROT_00135,REAL_ESTATE,166700.7,True
PROT_00136,GUARANTEE,137580.73,True
PROT_00137,FINANCIAL_COLLATERAL,75941.41,True
PROT_00138,GUARANTEE,204101.59,True
PROT_00139,FINANCIAL_COLLATERAL,171611.46,True
PROT_00140,GUARANTEE,484887.82,True
PROT_00141,FINANCIAL_COLLATERAL,300968.97,True
PROT_00142,GUARANTEE,206274.67,True
PROT_00143,GUARANTEE,311210.42,True
PROT_00144,GUARANTEE,112638.52,True
PROT_00145,REAL_ESTATE,249819.69,True
PROT_00146,GUARANTEE,331805.44,True
PROT_00147,REAL_ESTATE,270004.02,True
PROT_00148,FINANCIAL_COLLATERAL,230800.46,True
PROT_00149,GUARANTEE,497231.78,True
PROT_00150,FINANCIAL_COLLATERAL,446141.64,True
PROT_00151,FINANCIAL_COLLATERAL,330532.68,True
PROT_00152,GUARANTEE,306219.81,True
PROT_00153,REAL_ESTATE,329297.22,True
PROT_00154,GUARANTEE,140590.45,True
PROT_00155,FINANCIAL_COLLATERAL,227811.98,True
PROT_00156,FINANCIAL_COLLATERAL,67756.79,True
PROT_00157,GUARANTEE,263995.72,True
PROT_00158,REAL_ESTATE,294361.06,True
PROT_00159,REAL_ESTATE,152487.38,True
PROT_00160,FINANCIAL_COLLATERAL,483812.98,True
PROT_00161,FINANCIAL_COLLATERAL,459254.57,True
PROT_00162,REAL_ESTATE,374964.46,True
PROT_00163,GUARANTEE,290023.98,True
PROT_00164,FINANCIAL_COLLATERAL,441486.12,True
PROT_00165,REAL_ESTATE,108793.55,True
PROT_00166,FINANCIAL_COLLATERAL,405729.41,True
PROT_00167,GUARANTEE,106169.37,True
PROT_00168,REAL_ESTATE,407394.8,True
PROT_00169,FINANCIAL_COLLATERAL,174095.41,True
PROT_00170,GUARANTEE,444690.76,True
PROT_00171,FINANCIAL_COLLATERAL,474818.94,True
PROT_00172,GUARANTEE,116958.19,True
PROT_00173,GUARANTEE,258204.02,True
PROT_00174,REAL_ESTATE,491444.32,True
PROT_00175,GUARANTEE,267533.35,True
PROT_00176,FINANCIAL_COLLATERAL,438596.39,True
PROT_00177,GUARANTEE,314929.18,True
PROT_00178,GUARANTEE,218898.46,True
PROT_00179,REAL_ESTATE,178602.6,True
PROT_00180,GUARANTEE,141450.39,True
PROT_00181,GUARANTEE,392809.19,True
PROT_00182,FINANCIAL_COLLATERAL,223943.23,True
PROT_00183,REAL_ESTATE,280073.96,True
PROT_00184,REAL_ESTATE,271546.47,True
PROT_00185,REAL_ESTATE,309775.56,True
PROT_00186,GUARANTEE,439509.72,True
PROT_00187,REAL_ESTATE,491332.7,True
PROT_00188,GUARANTEE,233412.89,True
PROT_00189,GUARANTEE,422383.51,True
PROT_00190,FINANCIAL_COLLATERAL,394037.51,True
PROT_00191,FINANCIAL_COLLATERAL,308088.03,True
PROT_00192,FINANCIAL_COLLATERAL,480221.21,True
PROT_00193,FINANCIAL_COLLATERAL,140213.53,True
PROT_00194,FINANCIAL_COLLATERAL,99168.89,True
PROT_00195,GUARANTEE,434282.89,True
PROT_00196,GUARANTEE,247617.42,True
PROT_00197,REAL_ESTATE,431135.98,True
PROT_00198,GUARANTEE,451890.59,True
PROT_00199,GUARANTEE,78105.92,True
PROT_00200,FINANCIAL_COLLATERAL,447559.14,True
PROT_00201,GUARANTEE,251743.57,True
PROT_00202,FINANCIAL_COLLATERAL,279694.62,True
PROT_00203,REAL_ESTATE,331966.63,True
PROT_00204,REAL_ESTATE,466872.17,True
PROT_00205,GUARANTEE,58602.24,True
PROT_00206,REAL_ESTATE,264579.56,True
PROT_00207,GUARANTEE,359474.92,True
PROT_00208,REAL_ESTATE,375218.13,True
PROT_00209,FINANCIAL_COLLATERAL,361639.59,True
PROT_00210,FINANCIAL_COLLATERAL,110495.81,True
PROT_00211,FINANCIAL_COLLATERAL,184728.01,True
PROT_00212,FINANCIAL_COLLATERAL,211421.99,True
PROT_00213,GUARANTEE,411996.74,True
PROT_00214,REAL_ESTATE,175441.94,True
PROT_00215,GUARANTEE,144817.23,True
PROT_00216,FINANCIAL_COLLATERAL,480851.61,True
PROT_00217,GUARANTEE,53988.48,True
PROT_00218,REAL_ESTATE,499019.39,True
PROT_00219,GUARANTEE,354569.58,True
PROT_00220,REAL_ESTATE,422811.18,True
PROT_00221,GUARANTEE,182578.73,True
PROT_00222,REAL_ESTATE,56441.87,True
PROT_00223,REAL_ESTATE,382041.28,True
PROT_00224,FINANCIAL_COLLATERAL,425365.07,True
PROT_00225,REAL_ESTATE,383214.26,True
PROT_00226,FINANCIAL_COLLATERAL,114282.63,True
PROT_00227,FINANCIAL_COLLATERAL,389042.57,True
PROT_00228,FINANCIAL_COLLATERAL,396015.25,True
PROT_00229,GUARANTEE,346343.23,True
PROT_00230,GUARANTEE,394752.17,True
PROT_00231,GUARANTEE,430664.65,True
PROT_00232,GUARANTEE,326121.85,True
PROT_00233,REAL_ESTATE,89872.12,True
PROT_00234,REAL_ESTATE,269432.51,True
PROT_00235,GUARANTEE,84942.2,True
PROT_00236,REAL_ESTATE,233394.36,True
PROT_00237,REAL_ESTATE,233197.92,True
PROT_00238,FINANCIAL_COLLATERAL,79704.43,True
PROT_00239,FINANCIAL_COLLATERAL,206969.24,True
PROT_00240,FINANCIAL_COLLATERAL,99949.14,True
PROT_00241,FINANCIAL_COLLATERAL,413705.84,True
PROT_00242,REAL_ESTATE,476459.61,True
PROT_00243,GUARANTEE,82542.41,True
PROT_00244,REAL_ESTATE,479801.84,True
PROT_00245,REAL_ESTATE,285159.47,True
PROT_00246,REAL_ESTATE,184804.56,True
PROT_00247,FINANCIAL_COLLATERAL,84587.93,True
PROT_00248,FINANCIAL_COLLATERAL,275280.92,True
PROT_00249,FINANCIAL_COLLATERAL,407532.0,True
PROT_00250,GUARANTEE,368188.91,True
PROT_00251,REAL_ESTATE,72601.71,True
PROT_00252,GUARANTEE,82805.83,True
PROT_00253,FINANCIAL_COLLATERAL,231292.98,True
PROT_00254,GUARANTEE,182880.72,True
PROT_00255,REAL_ESTATE,154572.95,True
PROT_00256,REAL_ESTATE,176452.02,True
PROT_00257,FINANCIAL_COLLATERAL,411567.23,True
PROT_00258,FINANCIAL_COLLATERAL,468152.62,True
PROT_00259,GUARANTEE,232296.21,True
PROT_00260,FINANCIAL_COLLATERAL,457749.95,True
PROT_00261,FINANCIAL_COLLATERAL,194673.07,True
PROT_00262,REAL_ESTATE,264396.64,True
PROT_00263,FINANCIAL_COLLATERAL,151713.05,True
PROT_00264,FINANCIAL_COLLATERAL,338214.22,True
PROT_00265,REAL_ESTATE,490541.5,True
PROT_00266,REAL_ESTATE,321571.89,True
PROT_00267,GUARANTEE,211016.34,True
PROT_00268,FINANCIAL_COLLATERAL,341517.85,True
PROT_00269,REAL_ESTATE,105314.31,True
PROT_00270,GUARANTEE,449896.59,True
PROT_00271,GUARANTEE,276387.78,True
PROT_00272,FINANCIAL_COLLATERAL,252207.38,True
PROT_00273,FINANCIAL_COLLATERAL,313639.15,True
PROT_00274,GUARANTEE,331152.74,True
PROT_00275,REAL_ESTATE,82299.11,True
PROT_00276,GUARANTEE,357177.75,True
PROT_00277,FINANCIAL_COLLATERAL,158869.26,True
PROT_00278,REAL_ESTATE,371278.68,True
PROT_00279,REAL_ESTATE,420140.66,True
PROT_00280,GUARANTEE,411781.33,True
PROT_00281,FINANCIAL_COLLATERAL,298625.44,True
PROT_00282,GUARANTEE,284076.45,True
PROT_00283,GUARANTEE,114294.18,True
PROT_00284,GUARANTEE,398905.77,True
PROT_00285,REAL_ESTATE,172134.22,True
PROT_00286,REAL_ESTATE,273512.94,True
PROT_00287,FINANCIAL_COLLATERAL,177923.34,True
PROT_00288,FINANCIAL_COLLATERAL,110222.76,True
PROT_00289,GUARANTEE,333300.96,True
PROT_00290,GUARANTEE,74449.42,True
PROT_00291,GUARANTEE,386890.36,True
PROT_00292,FINANCIAL_COLLATERAL,192914.06,True
PROT_00293,REAL_ESTATE,50060.61,True
PROT_00294,REAL_ESTATE,280008.11,True
PROT_00295,GUARANTEE,71083.36,True
PROT_00296,GUARANTEE,174276.3,True
PROT_00297,GUARANTEE,368139.42,True
PROT_00298,GUARANTEE,78210.33,True
PROT_00299,FINANCIAL_COLLATERAL,427702.32,True
PROT_00300,REAL_ESTATE,51718.97,True
PROT_00301,GUARANTEE,161070.74,True
PROT_00302,FINANCIAL_COLLATERAL,383406.83,True
PROT_00303,GUARANTEE,192321.57,True
PROT_00304,GUARANTEE,95851.57,True
PROT_00305,REAL_ESTATE,212105.26,True
PROT_00306,GUARANTEE,171676.98,True
PROT_00307,REAL_ESTATE,429220.36,True
PROT_00308,REAL_ESTATE,191006.56,True
PROT_00309,REAL_ESTATE,405019.61,True
PROT_00310,FINANCIAL_COLLATERAL,451342.47,True
PROT_00311,FINANCIAL_COLLATERAL,245217.84,True
PROT_00312,REAL_ESTATE,459474.41,True
PROT_00313,GUARANTEE,219793.12,True
PROT_00314,REAL_ESTATE,483835.29,True
PROT_00315,GUARANTEE,90180.29,True
PROT_00316,REAL_ESTATE,359158.67,True
PROT_00317,GUARANTEE,272216.32,True
PROT_00318,FINANCIAL_COLLATERAL,224441.96,True
PROT_00319,GUARANTEE,334720.35,True
PROT_00320,REAL_ESTATE,366735.69,True
PROT_00321,FINANCIAL_COLLATERAL,51963.47,True
PROT_00322,GUARANTEE,125128.89,True
PROT_00323,GUARANTEE,370870.72,True
PROT_00324,GUARANTEE,349873.44,True
PROT_00325,GUARANTEE,484721.38,True
PROT_00326,GUARANTEE,392467.01,True
PROT_00327,FINANCIAL_COLLATERAL,477847.72,True
PROT_00328,FINANCIAL_COLLATERAL,366143.23,True
PROT_00329,FINANCIAL_COLLATERAL,184123.49,True
PROT_00330,FINANCIAL_COLLATERAL,97414.22,True
PROT_00331,REAL_ESTATE,401820.74,True
PROT_00332,FINANCIAL_COLLATERAL,339867.15,True
PROT_00333,GUARANTEE,71683.71,True
PROT_00334,GUARANTEE,212022.71,True
PROT_00335,FINANCIAL_COLLATERAL,480559.92,True
PROT_00336,GUARANTEE,275180.52,True
PROT_00337,FINANCIAL_COLLATERAL,244728.11,True
PROT_00338,GUARANTEE,255964.82,True
PROT_00339,REAL_ESTATE,143997.23,True
PROT_00340,REAL_ESTATE,215918.23,True
PROT_00341,FINANCIAL_COLLATERAL,216415.97,True
PROT_00342,FINANCIAL_COLLATERAL,73559.76,True
PROT_00343,FINANCIAL_COLLATERAL,395405.43,True
PROT_00344,GUARANTEE,237426.99,True
PROT_00345,FINANCIAL_COLLATERAL,419980.95,True
PROT_00346,REAL_ESTATE,432656.6,True
PROT_00347,GUARANTEE,145397.32,True
PROT_00348,FINANCIAL_COLLATERAL,345809.07,True
PROT_00349,GUARANTEE,262526.81,True
PROT_00350,GUARANTEE,446070.53,True
PROT_00351,FINANCIAL_COLLATERAL,147083.31,True
PROT_00352,GUARANTEE,355015.94,True
PROT_00353,REAL_ESTATE,323488.46,True
PROT_00354,REAL_ESTATE,182885.66,True
PROT_00355,GUARANTEE,111470.41,True
PROT_00356,FINANCIAL_COLLATERAL,343237.89,True
PROT_00357,GUARANTEE,382368.86,True
PROT_00358,REAL_ESTATE,192032.3,True
PROT_00359,GUARANTEE,340174.67,True
PROT_00360,GUARANTEE,227808.91,True
PROT_00361,REAL_ESTATE,370943.1,True
PROT_00362,GUARANTEE,139646.87,True
PROT_00363,GUARANTEE,450596.75,True
PROT_00364,FINANCIAL_COLLATERAL,179334.32,True
PROT_00365,FINANCIAL_COLLATERAL,215503.69,True
PROT_00366,REAL_ESTATE,76141.38,True
PROT_00367,REAL_ESTATE,100180.5,True
PROT_00368,REAL_ESTATE,282137.86,True
PROT_00369,FINANCIAL_COLLATERAL,170416.7,True
PROT_00370,REAL_ESTATE,425966.1,True
PROT_00371,REAL_ESTATE,56612.02,True
PROT_00372,REAL_ESTATE,220592.32,True
PROT_00373,FINANCIAL_COLLATERAL,201805.5,True
PROT_00374,GUARANTEE,58697.43,True
PROT_00375,REAL_ESTATE,105965.78,True
PROT_00376,GUARANTEE,236139.2,True
PROT_00377,REAL_ESTATE,271789.06,True
PROT_00378,GUARANTEE,231930.39,True
PROT_00379,FINANCIAL_COLLATERAL,288921.96,True
PROT_00380,FINANCIAL_COLLATERAL,317809.25,True
PROT_00381,REAL_ESTATE,54465.72,True
PROT_00382,GUARANTEE,258842.82,True
PROT_00383,FINANCIAL_COLLATERAL,483574.66,True
PROT_00384,REAL_ESTATE,283564.53,True
PROT_00385,REAL_ESTATE,354894.02,True
PROT_00386,FINANCIAL_COLLATERAL,190338.74,True
PROT_00387,FINANCIAL_COLLATERAL,398296.12,True
PROT_00388,REAL_ESTATE,397814.67,True
PROT_00389,GUARANTEE,284583.22,True
PROT_00390,GUARANTEE,489206.22,True
PROT_00391,GUARANTEE,106497.6,True
PROT_00392,REAL_ESTATE,57626.45,True
PROT_00393,FINANCIAL_COLLATERAL,396571.2,True
PROT_00394,REAL_ESTATE,413219.99,True
PROT_00395,FINANCIAL_COLLATERAL,104093.25,True
PROT_00396,GUARANTEE,169512.27,True
PROT_00397,GUARANTEE,57898.56,True
PROT_00398,FINANCIAL_COLLATERAL,181988.87,True
PROT_00399,FINANCIAL_COLLATERAL,397913.84,True
PROT_00400,REAL_ESTATE,283082.24,True
PROT_00401,GUARANTEE,206643.02,True
PROT_00402,REAL_ESTATE,217282.68,True
PROT_00403,REAL_ESTATE,50609.13,True
PROT_00404,REAL_ESTATE,184910.24,True
PROT_00405,GUARANTEE,340906.43,True
PROT_00406,REAL_ESTATE,488387.5,True
PROT_00407,REAL_ESTATE,431177.37,True
PROT_00408,REAL_ESTATE,60617.73,True
PROT_00409,REAL_ESTATE,454352.27,True
PROT_00410,REAL_ESTATE,402439.29,True
PROT_00411,REAL_ESTATE,401169.26,True
PROT_00412,GUARANTEE,256098.09,True
PROT_00413,REAL_ESTATE,229102.38,True
PROT_00414,FINANCIAL_COLLATERAL,186312.08,True
PROT_00415,REAL_ESTATE,79562.69,True
PROT_00416,REAL_ESTATE,152705.91,True
PROT_00417,GUARANTEE,160971.64,True
PROT_00418,GUARANTEE,267834.68,True
PROT_00419,FINANCIAL_COLLATERAL,386349.98,True
PROT_00420,FINANCIAL_COLLATERAL,263214.42,True
PROT_00421,GUARANTEE,76030.0,True
PROT_00422,GUARANTEE,481005.41,True
PROT_00423,REAL_ESTATE,474225.94,True
PROT_00424,GUARANTEE,403335.29,True
PROT_00425,FINANCIAL_COLLATERAL,496097.56,True
PROT_00426,REAL_ESTATE,295017.05,True
PROT_00427,FINANCIAL_COLLATERAL,483245.76,True
PROT_00428,REAL_ESTATE,84022.27,True
PROT_00429,GUARANTEE,214556.34,True
PROT_00430,FINANCIAL_COLLATERAL,151421.57,True
PROT_00431,REAL_ESTATE,138124.89,True
PROT_00432,REAL_ESTATE,113361.33,True
PROT_00433,GUARANTEE,330086.14,True
PROT_00434,GUARANTEE,401594.84,True
PROT_00435,GUARANTEE,310234.28,True
PROT_00436,FINANCIAL_COLLATERAL,116133.22,True
PROT_00437,REAL_ESTATE,415005.7,True
PROT_00438,GUARANTEE,336179.62,True
PROT_00439,FINANCIAL_COLLATERAL,224674.57,True
PROT_00440,FINANCIAL_COLLATERAL,353358.63,True
PROT_00441,FINANCIAL_COLLATERAL,166957.24,True
PROT_00442,GUARANTEE,205336.49,True
PROT_00443,GUARANTEE,462868.63,True
PROT_00444,REAL_ESTATE,180727.03,True
PROT_00445,REAL_ESTATE,261494.72,True
PROT_00446,GUARANTEE,450563.51,True
PROT_00447,FINANCIAL_COLLATERAL,368474.61,True
PROT_00448,FINANCIAL_COLLATERAL,77991.45,True
PROT_00449,FINANCIAL_COLLATERAL,116286.37,True
PROT_00450,REAL_ESTATE,53528.72,True
PROT_00451,FINANCIAL_COLLATERAL,333914.81,True
PROT_00452,REAL_ESTATE,251453.04,True
PROT_00453,REAL_ESTATE,110423.68,True
PROT_00454,FINANCIAL_COLLATERAL,481070.35,True
PROT_00455,FINANCIAL_COLLATERAL,288346.88,True
PROT_00456,GUARANTEE,158851.98,True
PROT_00457,GUARANTEE,275271.61,True
PROT_00458,FINANCIAL_COLLATERAL,355829.15,True
PROT_00459,REAL_ESTATE,84307.65,True
PROT_00460,REAL_ESTATE,173616.72,True
PROT_00461,REAL_ESTATE,413134.47,True
PROT_00462,REAL_ESTATE,256849.19,True
PROT_00463,REAL_ESTATE,295959.71,True
PROT_00464,GUARANTEE,244767.2,True
PROT_00465,FINANCIAL_COLLATERAL,69754.97,True
PROT_00466,GUARANTEE,124587.4,True
PROT_00467,REAL_ESTATE,250493.74,True
PROT_00468,REAL_ESTATE,144133.46,True
PROT_00469,REAL_ESTATE,72490.56,True
PROT_00470,REAL_ESTATE,429642.35,True
PROT_00471,FINANCIAL_COLLATERAL,491536.64,True
PROT_00472,REAL_ESTATE,406914.29,True
PROT_00473,FINANCIAL_COLLATERAL,434203.21,True
PROT_00474,REAL_ESTATE,158889.71,True
PROT_00475,FINANCIAL_COLLATERAL,482282.14,True
PROT_00476,GUARANTEE,138616.57,True
PROT_00477,REAL_ESTATE,478143.41,True
PROT_00478,FINANCIAL_COLLATERAL,497668.68,True
PROT_00479,GUARANTEE,370275.26,True
PROT_00480,REAL_ESTATE,491514.68,True
PROT_00481,REAL_ESTATE,306292.9,True
PROT_00482,REAL_ESTATE,166793.8,True
PROT_00483,FINANCIAL_COLLATERAL,246648.15,True
PROT_00484,FINANCIAL_COLLATERAL,317102.42,True
PROT_00485,GUARANTEE,82886.7,True
PROT_00486,FINANCIAL_COLLATERAL,330054.47,True
PROT_00487,FINANCIAL_COLLATERAL,491530.03,True
PROT_00488,REAL_ESTATE,135548.44,True
PROT_00489,REAL_ESTATE,406667.8,True
PROT_00490,REAL_ESTATE,458554.46,True
PROT_00491,REAL_ESTATE,474665.72,True
PROT_00492,REAL_ESTATE,482061.02,True
PROT_00493,REAL_ESTATE,284656.84,True
PROT_00494,REAL_ESTATE,489788.56,True
PROT_00495,GUARANTEE,390789.59,True
PROT_00496,GUARANTEE,122752.15,True
PROT_00497,GUARANTEE,264605.05,True
PROT_00498,GUARANTEE,373249.03,True
PROT_00499,REAL_ESTATE,161303.14,True
PROT_00500,GUARANTEE,338276.83,True
